stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,300.0,0.5,250.0,0.15,0.025,0.47273020379684283,0.04499761217218058,0.003565754971139746,-0.006688958478880742,0.1671447642721756,1.2
MCD,300.0,0.6,250.0,0.15,0.025,0.7373763221154856,0.06123356396445942,0.0041531162741133,-0.007750329859830219,0.23361279041887312,1.2
MCD,300.0,0.7000000000000001,250.0,0.15,0.025,1.034583223764752,0.07675321115051252,0.0045725723193821,-0.008488922557950966,0.3000750584594503,1.2
MCD,300.0,0.8,250.0,0.15,0.025,1.3541896465761418,0.09129363659859045,0.004867754493499755,-0.008990243944006177,0.3650815870124816,1.2
MCD,300.0,0.9,250.0,0.15,0.025,1.6887823407917892,0.10478972593123195,0.005072077819317632,-0.009319292910898176,0.4279565660049252,1.2
MCD,300.0,1.0,250.0,0.15,0.025,2.0329807952275516,0.11726686808031864,0.00520989869019228,-0.009523196754894514,0.48842800220552635,1.2
MCD,310.0,0.1,250.0,0.15,0.025,7.312075838413336e-06,3.058578931368741e-06,1.2187455274914635e-06,-2.3368794077711125e-06,1.1425739320232472e-05,1.24
MCD,310.0,0.2,250.0,0.15,0.025,0.00317654977927323,0.0007125890870321916,0.0001469504768462567,-0.0002804665388442426,0.0027553214408673134,1.24
MCD,310.0,0.30000000000000004,250.0,0.15,0.025,0.029568654660346416,0.004688329862852543,0.0006642028489520803,-0.0012618242267059146,0.018680705126777265,1.24
MCD,310.0,0.4,250.0,0.15,0.025,0.09900760021429278,0.01238466028776253,0.00135162846719005,-0.002555898051038397,0.05068606751962688,1.24
MCD,310.0,0.5,250.0,0.15,0.025,0.21538280397992793,0.02254084775479893,0.0020163621102850166,-0.0037952627206056296,0.09451697391961016,1.24
MCD,310.0,0.6,250.0,0.15,0.025,0.3737219459497698,0.03393453724639664,0.002586510402582242,-0.004845883606407253,0.14549121014525113,1.24
MCD,310.0,0.7000000000000001,250.0,0.15,0.025,0.5666016796605629,0.04575006481127769,0.003051025230961398,-0.005689678084691576,0.20022353078184177,1.24
MCD,310.0,0.8,250.0,0.15,0.025,0.7868193047922585,0.05750355817933174,0.003420366862296473,-0.006348848263649857,0.25652751467223545,1.24
MCD,310.0,0.9,250.0,0.15,0.025,1.028204902716361,0.06892579935911608,0.003710204890399884,-0.006854839633723826,0.31304853762749024,1.24
