scenario,spot,strike,maturity,vol,price,delta,gamma,theta,vega,moneyness
Low_Vol,100,90,0.5,0.1,11.039441051805738,0.952222849912131,0.01406507997393971,-0.00653948185612365,0.07032539986969855,0.9
Low_Vol,100,90,1.0,0.1,12.253284489649516,0.9038158791992108,0.017056620895262154,-0.006617526337995997,0.17056620895262153,0.9
Low_Vol,100,100,0.1,0.1,1.3626729673704716,0.5315063340142597,0.12576300200242846,-0.02006550495562338,0.12576300200242843,1.0
Low_Vol,100,100,0.25,0.1,2.248843136507652,0.5497382248301129,0.07916753738894991,-0.013733908099664573,0.19791884347237476,1.0
Low_Vol,100,100,0.5,0.1,3.3318417618525515,0.5701581024006669,0.05554426347983313,-0.010550390530290246,0.27772131739916567,1.0
Low_Vol,100,100,1.0,0.1,5.016980606262415,0.5987063256829237,0.03866681168028493,-0.008302503077410537,0.3866681168028493,1.0
Low_Vol,100,110,0.1,0.1,0.0015051464146106364,0.0016681922164338836,0.0017000530587846085,-0.00024194228614741366,0.0017000530587846082,1.1
Low_Vol,100,110,0.25,0.1,0.07349927064398631,0.03743959820596415,0.016330519318673194,-0.002438178566938927,0.04082629829668298,1.1
Low_Vol,100,110,0.5,0.1,0.40835713159522946,0.12077672097881442,0.028418849936123817,-0.0045324076606353845,0.1420942496806191,1.1
Low_Vol,100,110,1.0,0.1,1.3537383655181436,0.24099615585831613,0.031157518596646044,-0.005514502669146772,0.31157518596646044,1.1
Low_Vol,100,120,0.1,0.1,3.3942580871989383e-09,6.485104286912957e-09,1.2002783885539545e-08,-1.6795658018878335e-09,1.2002783885539547e-08,1.2
Low_Vol,100,120,0.25,0.1,0.0002652974976307329,0.00021461206788597753,0.00016188650284186873,-2.333765295318569e-05,0.0004047162571046718,1.2
Low_Vol,100,120,0.5,0.1,0.018734989037110572,0.008160892516039964,0.003154623416051541,-0.00047583083850387614,0.015773117080257706,1.2
Low_Vol,100,120,1.0,0.1,0.23837151153272362,0.05783445586962721,0.011573616189701192,-0.0018892665506675603,0.11573616189701193,1.2
Normal_Vol,100,80,0.1,0.25,20.164410689066926,0.998057763656734,0.0007809149342249234,-0.005032502001307996,0.0019522873355623082,0.8
Normal_Vol,100,80,0.25,0.25,20.548182568127885,0.9704634167764367,0.005373502016743335,-0.008792280992938651,0.03358438760464584,0.8
Normal_Vol,100,80,0.5,0.25,21.48217412607022,0.9203229850914791,0.008384140094817544,-0.011043962376142566,0.10480175118521931,0.8
Normal_Vol,100,80,1.0,0.25,23.517401085157182,0.8638047692088193,0.008737344869919571,-0.01092515558510784,0.2184336217479893,0.8
Normal_Vol,100,90,0.1,0.25,10.480803517553525,0.9188749041971375,0.019004381042905322,-0.020731514558770182,0.047510952607263304,0.9
Normal_Vol,100,90,0.25,0.25,11.673140990945186,0.8277685981238361,0.020413828305480754,-0.02137368690929179,0.1275864269092547,0.9
Normal_Vol,100,90,0.5,0.25,13.471553671019976,0.7706429632810611,0.017150018051806933,-0.018167768477620243,0.21437522564758665,0.9
Normal_Vol,100,90,1.0,0.25,16.397728299740216,0.7344874862633163,0.013114599718912124,-0.014354336489566757,0.3278649929728031,0.9
Normal_Vol,100,100,0.1,0.25,3.2508520391354168,0.5258440055120437,0.05035672712082612,-0.04581684437123162,0.1258918178020653,1.0
Normal_Vol,100,100,0.25,0.25,5.224453276436321,0.5408200935748513,0.031748166526334665,-0.02985877578383714,0.1984260407895916,1.0
Normal_Vol,100,100,0.5,0.25,7.5168463739128555,0.5576275455577764,0.02233172383841429,-0.021763237981210305,0.2791465479801787,1.0
Normal_Vol,100,100,1.0,0.25,10.870558490557599,0.5812139374874482,0.01562587854480421,-0.01596740753538373,0.3906469636201053,1.0
Normal_Vol,100,110,0.1,0.25,0.483559561156671,0.1269844228861921,0.026326186675589888,-0.023208852029235862,0.06581546668897471,1.1
Normal_Vol,100,110,0.25,0.25,1.7963731095274262,0.2546328704422952,0.025669418761978494,-0.023274059292636498,0.16043386726236558,1.1
